"","","2004-05 ","2005-06 ","2006-07 ","2007-08 ","2008-09 ","2009-10 (1)","2010-11 (2)","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 "
"Total Unitary Authorities ","",-21993.36,-23286.13,-24116.55,-26842.21,-26296.64,-28080.1,-28473.82,-30335.72,-30423.17,-31548.77,-33914.89,-35817.11,-37410.1,-38493.77
"Total Unitary Authorities ","Isle of Anglesey ",-252,-309,-291,-450,-357,-361,-366,-344,-330,-388,-456,-523,-605,-639
"","Gwynedd ",-1309,-1261,-1317,-2171,-1881,-2152,-1899,-1968,-2098,-2097,-2027,-2538,-2490,-2539
"","Conwy ",-1134,-1187,-1323,-1538,-1437,-1497,-1453,-1381.567,-1367.809,-1391.697,-1419.135,-1886.046,-1935.267,-1903.485
"","Denbighshire ",-930,-1192,-1541,-1572.217,-1462.402,-1532.073,-1507.119,-1495.248,-1458,-1300,-1251,-1300,-1710.687,-1516.686
"","Flintshire ",-263,-260,-257,-237,-220,-242,-217,-219,-208.735,-296.4271,-450.0001,-438.855,-598.6638,-570.91
"","Wrexham ",-683.772,-735.206,-747.956,-910.001,-1030.469,-970.534,-1006.455,-1131.96,-846.987,-154.977,-1044.501,-896.2518,-974.097,-1112.864
"","Powys ",-934.215,-1050.367,-1221.378,-1377.253,-1351.42,-1435.966,-1264.429,-1251.317,-1206.891,-1196.459,-1363,-1602,-1684,-1652.771
"","Ceredigion ",-436.071,-448,-541,-593,-645,-794,-871,-878.576,-1032.172,-1122.81,-1150.479,-980.259,-1108.664,-1055.016
"","Pembrokeshire ",-711,-686,-776,-748,-708,-767,-1055,-1334,-1297,-1360,-1521,-1783,-1867,-1916
"","Carmarthenshire ",-1579,-1777,-2095,-2214.239,-1948.937,-1996.909,-2022.15,-2148.468,-2137.105,-2447.559,-2815.358,-3105.993,-3091.909,-3035.068
"","Swansea ",-3685,-3679,-3555,-3323,-3217,-4097,-4266,-4610,-4422,-4618,-5171,-5446,-5666,-5931.514
"","Neath Port Talbot ",-953,-1033,-792.434,-956,-1045,-1030.486,-1244.98,-1664,-1736,-1507.012,-1494,-1376.046,-1374.55,-1499.981
"","Bridgend ",-1334,-1433,-1568,-1454,-1248,-1151.419,-1030.998,-1057.613,-1137.688,-1356.798,-1267.642,-1219.9,-1127.487,-1138.637
"","Vale of Glamorgan ",-148,-176,-208,-233,-228,-321,-321,-319,-318,-955,-788,-686,-764,-737
"","Rhondda Cynon Taf ",-906.299,-834.557,-823.161,-808.724,-817.197,-1111.122,-1131.688,-1084.802,-1290.361,-1384.112,-1409.513,-1291.035,-1321.516,-1089.778
"","Merthyr Tydfil ",-511,-490.415,-499.9939,-752.7725,-723.0273,-737.157,-689.1779,-726.8506,-885.0389,-831.6895,-744.608,-689.98,-607.813,-725.231
"","Caerphilly ",-545,-547,-522,-593,-597,-596,-619,-647,-659.235,-702,-721,-702,-675,-641.423
"","Blaenau Gwent ",0,-76.18,0,0,-2,0,0,0,0,-30,-38.483,-30,-30,-30.211
"","Torfaen ",-15,-15,-5,0,-5,-16,-7,-5,-7,-9,-12,-5,-15,-4
"","Monmouthshire ",-791,-1049.4,-1084.632,-1252,-1197.193,-1176.433,-1188.821,-1260.321,-1146.71,-1182.541,-1250.408,-1420.871,-1522.203,-1534.746
"","Newport ",-2326,-2254,-2064,-1921,-1790,-1676,-1302,-746,-660.439,-604.873,-620.76,-639.8984,-642.502,-591.316
"","Cardiff ",-2547,-2793,-2884,-3738,-4386,-4419,-5012,-6063,-6178,-6612.819,-6900,-7256.977,-7598.742,-8629.129


