"auth.name","2013","2014","2015","2016","2017"
"Edinburgh City",38.134702457956,32.976751370974,30.1493937644342,27.6675266256532,26.8368349920138
"Glasgow City",42.3382583389299,37.004160887656,35.5760368663594,34.4107310795426,37.5584984566365
"Aberdeen City",46.9021739130435,48.3505154639175,57.7569872098532,59.9626865671642,60.4382517565797
"Dundee City",79.4452149791956,69.1692466460268,63.3221850613155,75.9264196214343,66.7648213584609
"Fife",88.7243352406597,90.9448818897638,93.9486139283299,86.9051052783386,89.5222129086337
"Perth and Kinross",76.4160317986088,76.9890260631001,92.2619047619048,82.4440619621343,77.4883720930233
"East Ayrshire",81.2399355877617,83.1212324179504,62.9581151832461,53.3519553072626,81.4779270633397
"Stirling",93.2073774179037,93.1154036651808,90.2453620586475,95.4320987654321,76.3300270513976
"Highland",76.8302493966211,70.2143385070214,73.6668861092824,73.4986225895317,71.3904931141715
"South Lanarkshire",78.7598334104581,73.3888645330995,74.4110479285134,72.108843537415,66.021978021978
"Argyll and Bute",60.7594936708861,67.5621890547264,66.6666666666667,66.6666666666667,67.0152091254753
"Aberdeenshire",65.2797704447633,79.5275590551181,136.538461538462,120.696721311475,141.083521444695
"South Ayrshire",70.3389830508475,68.258064516129,Inf,59.4776748104465,65.3498871331828
"East Dunbartonshire",Inf,711.111111111111,1035.84905660377,185.326086956522,158.823529411765
"East Lothian",NA,NA,NA,202.380952380952,101.091703056769
"North Ayrshire",203.932584269663,445.077720207254,169.090909090909,172.307692307692,236.216216216216
"Moray",66.7175572519084,64.6268656716418,62.4082232011747,52.463768115942,64.2011834319527
"Renfrewshire",42.238946378175,50.7996237064911,34.5215759849906,27.4714828897338,41.5279138099902
"Inverclyde",Inf,159.235668789809,90.5487804878049,89.8701298701299,100.252525252525
"Scottish Borders",240.136054421769,286.614173228346,247.517730496454,224.137931034483,234.545454545455
"East Renfrewshire",138.709677419355,136.492890995261,179.14691943128,159.722222222222,174.093264248705
"Falkirk",70.0440528634361,87.1121718377088,100,69.2640692640693,66.9099756690998
"Dumfries and Galloway",1593.33333333333,1542.85714285714,1771.42857142857,1400,1252.94117647059
"Midlothian",Inf,Inf,Inf,Inf,Inf
"Angus",2783.33333333333,2216.66666666667,1900,3166.66666666667,Inf
"West Lothian",Inf,Inf,Inf,Inf,Inf
"Orkney Islands",128.735632183908,112.5,115.294117647059,121.818181818182,89.9328859060403
"Eilean Siar",270,226.315789473684,251.351351351351,283.333333333333,276.595744680851
"West Dunbartonshire",Inf,Inf,Inf,Inf,Inf
"Shetland Islands",125,96.551724137931,98.6111111111111,133.333333333333,85.7142857142857
"Clackmannanshire",757.142857142857,746.666666666667,657.142857142857,NA,NA
"North Lanarkshire",NA,NA,NA,NA,NA
"Total",54.4170382187317,52.0748209074025,50.8795617622097,48.4057304091938,49.4791135294451
