"auth.name","2013","2014","2015","2016","2017","change","prop.income"
"Cardiff",3688.334,3474,3762.95,3940.961,4764.262,20.8908690037785,55.2113892375464
"Swansea",3362,3220,3044,3199,3086.619,-3.51300406376992,52.0376247952884
"Carmarthenshire",1652.378,2025.534,1712.004,1764.262,2114.892,19.8740323149283,69.6818654474957
"Neath Port Talbot",1261.585,1308,1167.756,1256.294,1331.721,6.00392901661553,88.7825245786447
"Pembrokeshire",984,1029,1200,1270,1319,3.85826771653544,68.8413361169102
"Gwynedd",1300,1100,1130,1135,1157,1.93832599118944,45.5691217014573
"Denbighshire",759,767,842,1052.634,1052.62,-0.00132999694102409,69.4026317906277
"Conwy",812.067,759.922,827.782,915.938,954.178,4.17495507337833,50.1279495241623
"Rhondda Cynon Taf",991.065,864.274,794.365,790.796,905.616,14.5195473927536,83.1009618472753
"Bridgend",860.902,1156.383,988.229,832.518,888.598,6.73619068897009,78.0404992987229
"Powys",760.722,748,763,789,821.52,4.12167300380228,49.7056155994993
"Wrexham",304.1623,579.7368,580.3312,838.0524,812.1624,-3.08930563291746,72.9794835667251
"Vale of Glamorgan",902,637,578,632,686,8.54430379746836,93.0800542740841
"Flintshire",807.0831,458.2992,861.707,725.8859,678.484,-6.53021363274862,118.842549613775
"Monmouthshire",597.906,509.712,489.976,593.581,670.785,13.0064810025927,43.7065807632012
"Ceredigion",844.78,825.28,964.394,588.608,567.214,-3.63467706860932,53.7635448182776
"Caerphilly",490.7,522.77,511.91,657.84,550.429,-16.3278304754956,85.8137297851808
"Merthyr Tydfil",630.9492,651.133,518.726,504.046,510.397,1.26000404724966,70.3771625868172
"Blaenau Gwent",274.125,261.541,340.438,866.175,483.275,-44.2058475481283,1599.66568468439
"Isle of Anglesey",303,299,337,358,351,-1.95530726256983,54.9295774647887
"Newport",588.953,556.245,502.5744,633.041,285.733,-54.8634290669957,48.321540428468
"Torfaen",77,63,86,87,82,-5.74712643678161,2050
"Total",22252.7116,21815.83,22003.1426,23430.6323,24073.5054,2.74372919931827,62.5387118527192
